issue_id,issue_name,issue_description,issue_type,issue_published_month,issue_published_year,issue_cover_variant,issue_special_issue,issue_tags,issue_front_image,issue_front_image_name,issue_front_image_persons,issue_back_image,issue_back_image_name,issue_back_image_persons,chapter_id,chapter_page,chapter_name,chapter_subtitle,chapter_description,chapter_persons
,Loverboy An Irwin Hasen Story (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/LoverboyHasenBOOK.jpg?v=1505679890,,,,,,,,,,,
,Luis Royo - Subversive Beauty,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/subversive_beauty.jpg?v=1505679474,,,,,,,,,,,
,Manara - Fatal Rendezvous,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/fatal_rendezvous.jpg?v=1505679892,,,,,,,,,,,
,Manhattan Beach 1957 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_MB1957_cover.jpg?v=1505679893,,,,,,,,,,,
,Motorcycle Jacket -Signed,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/leather_jacket.jpg?v=1505679898,,,,,,,,,,,
,Mouse Pad Bisley artwork,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/pad_d83f4851-992e-4214-b811-c5d10d33ac85.jpg?v=1505679899,,,,,,,,,,,
,Muses:Art of Felix Vega (Artbook),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/muses.jpg?v=1505679899,,,,,,,,,,,
,Mythos: Fantasy Art Realms of Frank Brunner (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/mythos.jpg?v=1505679900,,,,,,,,,,,
,Narcopolis: Continuum,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/narcopolis-continuum-front.jpg?v=1517940756,,,,,,,,,,,
,Naughty But Nice,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/naughtybutnice.jpg?v=1505679906,,,,,,,,,,,
,Neferu the Cat (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Neferu_the_Cat_cover.jpg?v=1505679906,,,,,,,,,,,
,Netherworld 1 - Pleasure Model (HM Pulp),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/pleasure_model_cover.jpg?v=1505679907,,,,,,,,,,,
,Netherworld 2 - The Bloodstained Man (HM Pulp),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/netherworld2.jpg?v=1505679908,,,,,,,,,,,
,Netherworld 3 - Money Shot (HM Pulp),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/netherworld3.jpg?v=1505679908,,,,,,,,,,,
,Nick Book 1 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Nick_1_cover.jpg?v=1505679912,,,,,,,,,,,
,Nicky Saxx (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Nicky_Saxx_cover.jpg?v=1505679912,,,,,,,,,,,
